"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"latency_perprobe","endpoint","mistral","c","GET","503","1","359","359","359",,,
"latency_perprobe","endpoint","claude","c","HEAD","503","8","199","199","220",,,
"latency_perprobe","endpoint","mistral","v","HEAD","500","15","500","55","5072",,,
"latency_perprobe","endpoint","deepseek","v","GET","400","52","160","172","308",,,
"latency_perprobe","endpoint","claude","c","GET","405","32","118","102","217",,,
"latency_perprobe","endpoint","gpt","c","HEAD","400","10","241","138","789",,,
"latency_perprobe","endpoint","claude","v","HEAD","302","5","635","641","682",,,
"latency_perprobe","endpoint","gpt","t","HEAD","400","45","222","118","613",,,
"latency_perprobe","endpoint","gpt","c","GET","200","64","366","120","1421",,,
"latency_perprobe","endpoint","gemini","v","HEAD","415","6","54","49","97",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","ERR","203","1867","1","15011",,,
"latency_perprobe","endpoint","mistral","v","HEAD","302","24","676","651","733",,,
"latency_perprobe","endpoint","gemini","c","HEAD","400","9","93","68","193",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","405","111","115","89","269",,,
"latency_perprobe","endpoint","claude","c","HEAD","ERR","116","1315","1","15015",,,
"latency_perprobe","endpoint","gemini","v","HEAD","503","5","320","256","570",,,
"latency_perprobe","endpoint","mistral","c","GET","500","14","110","89","258",,,
"latency_perprobe","endpoint","mistral","t","HEAD","500","15","875","61","6781",,,
"latency_perprobe","endpoint","gpt","v","HEAD","400","49","211","113","587",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","308","4","51","32","82",,,
"latency_perprobe","endpoint","claude","t","GET","405","35","100","94","211",,,
"latency_perprobe","endpoint","mistral","t","GET","200","80","213","259","495",,,
"latency_perprobe","endpoint","deepseek","t","GET","401","340","138","105","314",,,
"latency_perprobe","endpoint","deepseek","v","GET","200","87","137","98","296",,,
"latency_perprobe","endpoint","mistral","v","OPTIONS","ERR","1095","1","1","1",,,
"latency_perprobe","endpoint","gpt","c","HEAD","503","1","780","780","780",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","500","4","46","40","65",,,
"latency_perprobe","endpoint","gemini","t","HEAD","ERR","113","2016","1","15051",,,
"latency_perprobe","endpoint","claude","v","HEAD","401","359","164","101","451",,,
"latency_perprobe","endpoint","gemini","v","HEAD","ERR","197","602","1","177",,,
"latency_perprobe","endpoint","gpt","t","HEAD","401","344","164","135","411",,,
